	acinar	ductal	delta	activated_stellate	alpha	beta	epsilon	gamma	endothelial	quiescent_stellate	macrophage	schwann	mast	t_cell
Sub1	0.0064414577019975	0.0120328968059135	4.04634433418622e-07	0.113954263172602	0.468717416909424	0.332067269724393	0.000475331682885	0.0012774710489913	0.0523149165526807	7.03889874710915e-05	0.0016746555541604	0.0007059468990522	0.0102589339882018	8.64633779313628e-06
Sub2	6.88269477311687e-07	0.025081314009795	6.61223595733006e-07	0.144114103877242	0.165943054579746	0.59761404820025	0.0075228460919149	2.1267077494074e-06	0.0525601343372263	1.11460402818045e-05	0.0033374164174795	1.14679680360349e-05	0.0037981514804052	2.84079680102288e-06
Sub3	0.0633748968678796	0.028134531630138	0.020889700447014	0.0933602245363736	0.295234492323607	0.39949124080124	0.0008352491104453	1.21588800016321e-06	0.054585075370954	0.0284306681158965	0.0051406073847088	0.0043786769125393	0.0059439559316367	0.0001994646795675
Sub4	0.0028300547439732	0.0397279408110419	3.42264813955009e-06	0.118182824432235	0.184010228938206	0.524994888981538	0.0184054726171608	0.0378161692566901	0.0558263341818798	7.03467764091012e-05	0.0020094315772808	5.78033387710133e-05	0.0160457919550798	1.92897415943794e-05
Sub5	0.0391275413599517	0.0001749932527756	2.81789675684618e-07	0.0177517365364171	0.566015698894639	0.256329039761134	0.0068072557097837	1.05804560012515e-06	0.0527750912770381	0.0396149579771332	9.0518696525271e-05	0.002366059690438	0.0189362735967659	9.49341212293132e-06
Sub6	6.6327393142783e-07	0.0300768568177483	5.79667133225875e-07	0.0876039347632663	0.0447383480612284	0.489692372242991	5.24269460030865e-06	7.50772606242209e-07	0.18744006466433	0.113913789034168	0.0007947996008952	0.0303809275634521	0.015346100605314	5.57023833563245e-06
Sub7	0.0184225502915796	0.0455108261167193	1.7135873487589e-06	0.0469628343319698	0.164039993112987	0.540695131419421	0.0255237365465016	1.08082748359032e-06	0.0974668899934315	0.0399214843953646	0.0012004861860972	0.004529523151093	0.0157226513726015	1.09866740149044e-06
Sub8	0.0325498839453605	0.134911564657487	0.0110034479204988	0.120389080302077	0.117540991015625	0.454616005777475	0.000217609528212	0.0056869733834773	0.100512128226623	0.0085181712836177	0.0036731917271151	0.0019182006204271	0.0082889880772642	0.0001737635347387
Sub9	0.0097913021136095	9.06448595913497e-05	2.09358146373095e-06	0.0708962911618115	0.444430144282658	0.30365902151554	0.0060368034156875	2.12835132927497e-06	0.0802523700303591	0.0572258021400842	0.0010466245991738	0.0075139635209653	0.0190343457515679	1.84646761588256e-05
Sub10	0.0004635139010873	0.0205917660316114	3.87093043995635e-07	0.0595461228548603	0.458342741435612	0.308689326561236	0.0140987529185761	6.12882133445105e-07	0.102654153116111	0.0228161783829881	0.001144006064722	0.0005469751302241	0.0111025498487682	2.91377902624929e-06
Sub11	0.168101566918326	4.46588131462751e-07	2.43137328213899e-07	0.130341399550582	0.455263749145886	0.100171870214964	7.25849908475231e-07	3.26286530847605e-07	0.0955470418302546	0.0195866415954482	0.0016246613586967	0.0088168589022301	0.019168438916366	0.0013760297053468
Sub12	0.031403136894228	1.08620536610231e-06	3.99776783593016e-07	0.165799663064178	0.338293683209007	0.304485331233561	1.77683073204103e-06	0.0030370737242396	0.112468306443066	0.0224500931120114	0.0023173698547737	0.0003299125751008	0.0191521339208238	0.0002600331561287
Sub13	0.014847502242863	0.0472504808220296	0.0076259583798418	0.077336949089269	0.268158695827668	0.380627736808568	0.0040126694931549	0.0127599145366258	0.119051611446133	0.0422205561120811	0.0029030487481211	0.0098385937694362	0.0133131785405911	5.31041836173781e-05
Sub14	0.0312097961094092	2.69500389392444e-06	4.85773364627104e-07	0.101280740464079	0.703426174049965	0.125326597779051	2.42723290372298e-06	0.001450113406481	0.028638963930231	4.84000643327903e-06	0.0031305107678949	2.18141644969395e-06	0.005448242539212	7.62315206314815e-05
Sub15	7.40496637153558e-07	0.0334697208031346	0.0031577981070972	0.074783487569346	0.252291726597194	0.5099113870576	0.0327268133617394	9.49076285969386e-07	0.0505332744769239	0.0291623127101368	0.0035088031089525	0.0002012052599722	0.0102506207344103	1.16064056997363e-06
Sub16	0.0173482707509771	0.0767202261205702	0.0084603009396458	0.1190457534579	0.236057944097476	0.391465431724197	0.0004240125360235	0.0029341765209063	0.103250685518061	0.0167217994538063	0.0018625589981915	0.0124336920724273	0.0131931330355685	8.20147742494844e-05
Sub17	0.0019687583450437	0.0617003352549304	0.0262004575065469	0.0620752173972855	0.12596634439336	0.470582732456937	0.001591022746932	0.0011695949363729	0.147855349008119	0.0618177344126799	0.0006315992692232	0.0284427081675493	0.0099814470005282	1.66991044930044e-05
Sub18	0.018329851592713	0.0561342200171733	0.0081027938066434	0.106755841725148	0.217731896080395	0.387860093306691	3.09838468217196e-06	0.0017339836196015	0.142171088604266	0.0285645640990585	0.0017391561365097	0.011645840672456	0.0189840264675012	0.0002435454871622
Sub19	0.0614914521086214	0.0307085630279407	0.0054233769056988	0.0745226942787894	0.274943928967364	0.392126218410265	0.004849154358593	0.0048799025735969	0.107444390874206	0.0230167133892339	0.0013442193250092	0.0052127773232388	0.013965899601356	7.0708856086842e-05
Sub20	3.62056760684906e-07	0.0610998547460782	0.0134737310161205	0.146974052119428	0.130604703630928	0.56905526538948	0.008625455546665	7.13703611385898e-07	0.0572673480961687	7.9890108408537e-06	0.0062966611596114	5.78250147292502e-06	0.0065830167563721	5.06426646238647e-06
Sub21	2.86454300424998e-07	0.139224470134296	0.0248671626443826	0.124875742419723	0.106371270711651	0.517923393115621	0.0185831608861612	5.64234667275112e-07	0.0528715818980388	0.0060333388892523	0.0050107938409531	9.0745027547046e-06	0.0042285744214161	5.85846781622598e-07
Sub22	0.0029020320481476	0.0200806856757583	4.47751741591193e-07	0.202607847699297	0.423942970188644	0.278990861544801	0.0056568497417691	0.0007705941499096	0.0511570480796867	2.77140094377227e-06	0.0074112874217056	1.11243284584087e-06	0.0064211153481825	5.43765165674518e-05
Sub23	0.029159993521115	0.0436754796845631	0.015975527059911	0.0525031754176167	0.399122834698769	0.407307388828568	0.0030446928643569	0.0082456287802353	0.0269401408655408	3.58705581181973e-06	0.009769734338283	1.62242304143648e-06	0.0042451225998547	5.07186233364084e-06
Sub24	0.0238614283435607	0.0354714835582104	0.0191552455580215	0.102808575344222	0.347655898447879	0.322558506086414	0.0011748175007631	0.002667652380869	0.0951207924623374	0.0325474085951739	0.0019587808201577	0.0045521326818363	0.0103592474003763	0.0001080308201783
Sub25	0.0207974838121888	0.0088902482083011	0.0014651809490695	0.0848887787439629	0.665898220234127	0.183434860149628	6.34636664217402e-05	0.0027816466864075	0.0244786362689255	1.76537021540032e-05	0.0048819356643871	2.55014906226199e-06	0.0023926143101792	6.72745518457951e-06
Sub26	0.066905652069136	0.0115020354878231	5.84348283667032e-07	0.047062551297378	0.435787809004563	0.304924152371734	0.0036657727592149	1.19618073218424e-06	0.0561937402941207	0.0567651194277609	0.0013085803407207	0.0042181410203726	0.0116612406500888	3.4247480709294e-06
Sub27	0.082688877849264	0.0334567390775531	0.0052650650055659	0.0642563237586392	0.285160541027079	0.377162395764051	0.0023170026902997	8.93597996183413e-07	0.103692783588386	0.0242922945592028	0.0014363065152426	0.0090644017073259	0.0111219398833159	8.44349760781559e-05
Sub28	0.014150569502878	0.0256838537527937	3.83624838871832e-07	0.043753101749156	0.376750971169043	0.411914139557963	0.0069378630304506	6.09225708499615e-07	0.042443485536895	0.0583494047774962	0.0033104635838268	0.0027620915571252	0.0139388537808447	4.20915097968639e-06
Sub29	0.0089106499501634	0.039350901722693	0.0100762829568349	0.0411616650121888	0.180050607989796	0.539308394988567	0.0123565491456419	0.0015602859216545	0.0797798625149459	0.0633586976228721	0.0019094964873389	0.0106073302271279	0.0114748336051623	9.44418550134401e-05
Sub30	0.0084034395752071	0.0550707562229033	0.0018422794317502	0.0782668847310292	0.144680283152967	0.635848948355171	0.0166486846900175	5.9755274114821e-06	0.0447132430027617	0.0075801300888555	0.0023926592837489	5.59286620393817e-06	0.0044447862715321	9.63368004402322e-05
Sub31	0.0110151440928972	0.0121846752196368	5.83427078227413e-07	0.0477929242848523	0.342656888064953	0.398124348608581	0.0058204684419919	1.14651909470957e-06	0.111483160416717	0.052938852059514	0.0002140871141159	0.0026142718800221	0.0151482164656229	5.23340492274938e-06
Sub32	0.0706808839884816	1.04415760959096e-06	0.00114813809127	0.198121217203469	0.27524943900743	0.294734309452281	2.32168903501125e-06	0.000816487321052	0.0994054277894725	0.0443738007647865	0.0028787083161769	0.0047871385045676	0.0075887404216271	0.0002123432927411
Sub33	0.0301052824658854	0.0856642125222187	0.0075146637524955	0.0321114066374859	0.104003838734993	0.514325069586842	0.0013210362563065	0.0005465276340763	0.121130303884072	0.0599250796885064	0.0001717440734624	0.030964118520198	0.0122048144140777	1.19018293796471e-05
Sub34	0.0898828034584599	0.0403914066412536	0.0179912206669042	0.0403116632117856	0.0931882550277845	0.549024538628025	0.0053497091008918	3.89370280490309e-06	0.102122903237163	0.0390761194193965	0.0018218061412629	0.009729231037396	0.010784350302885	0.0003220994239874
Sub35	0.12613198599119	0.0206215106533749	7.09947336019216e-07	0.102716782416406	0.316062716153285	0.291355971976358	3.5896293957401e-06	0.0065465740694362	0.0794992525162532	0.0265668257214482	0.0021396083523292	0.0067442699111132	0.0207950272749195	0.000815175387155
Sub36	0.11608363586915	0.0088938712241116	0.0083962440707678	0.0485377637233249	0.528912511106738	0.243562446012902	0.0039717907992073	0.0017869071072953	0.0220692893763063	0.0119127525861697	0.0046767045082215	3.14019715052568e-06	0.0011905350696579	2.40834899817766e-06
Sub37	0.0065496472573514	0.0429401517854397	0.0206139216315965	0.0575010246914196	0.242460537437006	0.573012348742987	0.0027075914180967	4.02408345808499e-06	0.031740357635003	0.0173653966687827	0.0024460365983002	8.35654576865013e-05	0.0025739953555757	1.40123729655413e-06
Sub38	0.0033079508313476	0.152724336768773	0.0263076768399989	0.0728974557659842	0.0379750856108804	0.60513363535376	0.0003043117757737	0.0172372169386537	0.0581760126264931	0.0185779477861309	0.0026006327760157	0.0021904338380901	0.0025650434993354	2.25958876363406e-06
Sub39	0.131189349001565	0.0853388926270291	0.0110047527721984	0.0077592631981263	0.194640581957683	0.3958964419936	0.0074886932830231	0.0292080018972614	0.0776794769875376	0.0353470599151572	0.0008590572819049	0.0164860015898533	0.0070996967093337	2.73078572691261e-06
Sub40	0.229226020147545	1.29096775051817e-06	4.86929803270575e-07	0.0969487260012764	0.393239178043456	0.15050580236109	1.45540614385786e-06	0.0026174842674819	0.0766062383891658	0.0209042610870699	0.0031788359939004	0.0027181269873004	0.0226378455568342	0.0014142478611827
Sub41	0.0240761062791003	8.97897231079652e-06	0.001187843628014	0.0609659790619762	0.333324600531393	0.457961045567173	0.0110252168792145	9.65224008429839e-07	0.0620151312801862	0.029679049065144	0.0037187722423444	0.0051783877788907	0.0108177985408023	4.01249494416093e-05
Sub42	0.0376005493977989	1.30637231273481e-06	0.0046378661319267	0.0753310380217739	0.386091833077997	0.326857332678695	0.0022729314548185	0.0011355921294019	0.0793473414433997	0.0627907046971247	0.0042385357441535	0.0091458941673134	0.0104363076706893	0.0001127670125938
Sub43	0.0202212377754466	4.68098694700744e-06	0.005605601272438	0.0505930323859021	0.25010532586167	0.526880308424785	0.0106416863621206	1.64155476279935e-06	0.0664878190078125	0.0498524079626738	0.0016920790673655	0.0030186709854725	0.0148294637460622	6.60446065407771e-05
Sub44	0.0247126639361052	0.0116502814775491	0.00957645919947	0.0953559427987308	0.358631100519178	0.368171845548257	0.0007489609879439	3.60937613643953e-06	0.0784866477308046	0.0165741574019779	0.0009741534760036	0.0018173988772042	0.0323801376047593	0.00091664106588
Sub45	0.0096354278012182	0.0223071820692348	0.0186863302364875	0.0170446351576562	0.100049982108376	0.621982803737926	0.0030069482810197	0.0090840814820423	0.0995414251818263	0.0693265155155281	0.0005458929833854	0.0074179272849652	0.0213518616215352	1.89865387993071e-05
Sub46	0.161165674482352	0.0073333036167317	0.0003486609047272	0.0206782506430419	0.228999187751372	0.367968848760057	0.0016939297165948	0.0015773020256456	0.0966877848708323	0.0870031276425988	0.0013084922772181	0.0096021073837877	0.0156098708490946	2.34590759462614e-05
Sub47	0.139927487073947	0.0227125955124507	0.0082841793870929	0.0441006336285139	0.220469304074032	0.36201824366373	0.0006470603482773	0.0052679475001387	0.122479595933947	0.0517083838510608	0.0009403228440125	0.0091741929430484	0.0122426979204216	2.73553193263032e-05
Sub48	0.0255496313280223	0.122927639094754	0.0114234282206478	0.0512864128166205	0.184157586016355	0.458351248526058	0.0003160157277676	0.0340068343080758	0.0589477983138427	0.0302434135800201	0.0029241911381123	0.0141831748707425	0.0055779846274212	0.0001046414315606
Sub49	3.51663435593113e-07	0.0357465200005782	1.16240523493619e-06	0.048361762548496	0.279678846944857	0.562502889125009	0.0250975821963722	8.3809228209712e-07	0.0359156455760613	0.0056389147628007	0.0005526269648	8.09017800226286e-05	0.0064123085813242	9.6493587266343e-06
Sub50	0.0104973509205852	0.0155482074674531	1.88685196751009e-05	0.0567323533793612	0.257901600367759	0.488743805506803	0.004790893767824	1.00466924517844e-06	0.0806844757357133	0.0623428768190411	0.0024440676987163	0.0055164182361056	0.0147721303116238	5.94660009378875e-06
Sub51	0.0227678516857388	0.0467394571195148	0.0031061900929613	0.0550783805381034	0.320617859313601	0.414868954415519	0.0006308946563865	0.0005475703134517	0.0705010109532072	0.0350703015168876	0.0020916944170422	0.0130977625852986	0.0148322584205807	4.98139717078301e-05
Sub52	0.0858184344893324	0.010718903715657	0.0378126991002041	0.003972164705922	0.341948074040097	0.43576335000446	0.0011265444067104	0.0017897956620058	0.0366344923541914	0.0174196435451069	0.0006512809181593	0.0081285739853854	0.0181824586466377	3.35844261301178e-05
Sub53	0.107706687506107	4.57990881776221e-05	7.62536283051196e-07	0.126243129708804	0.469345741520092	0.198636382169607	1.39228908065855e-06	0.0046801022935496	0.0780249564549065	0.0002774476212938	0.001006055534441	0.0002851661982465	0.0136775353416408	6.88417377692216e-05
Sub54	0.0733000369134072	0.0463297953660157	0.0041997302344233	0.0726451667346476	0.287600785822764	0.377108461263546	4.2951282297468e-05	0.0016676280258718	0.0867778300100835	0.0320296603226327	0.0016978465399807	0.0079335749700985	0.0085061760685589	0.0001603564456723
Sub55	0.11057900495517	0.0249127528884212	0.0030885709664602	0.0334044483068458	0.481345427099896	0.241788072532131	0.0013325979239687	0.0142830275739983	0.0420353337052075	0.0298104953248047	0.0041866006293884	0.0053615975213998	0.0077662841658318	0.0001057864064762
Sub56	0.0310259551202382	4.15831628173404e-07	2.45161124871522e-07	0.0885965437412855	0.638262692790063	0.130317068041611	8.94339021648135e-07	0.0007729197281676	0.0605018123315485	0.0254271064061911	0.002404254488517	0.0005911332632619	0.021739372692427	0.0003595860649145
Sub57	0.0078407051958652	0.030696429955704	2.07039037045385e-06	0.115593963693083	0.327691600200888	0.418711153016546	0.0036888004739995	2.06756001621716e-06	0.0512586074376014	0.0293472535698284	0.0048521476122448	0.0005744571066373	0.009665335304832	7.54084823836612e-05
Sub58	0.0178383873999595	0.0582860250886163	0.0077460940969634	0.018687984263572	0.271337073314744	0.486615137271627	0.0083069413084335	0.0023696695545157	0.0778351130887727	0.0253827089975067	0.0003001359532491	0.011077962980616	0.0142121419593696	4.62472205502018e-06
Sub59	0.0612820670893288	0.0400385565277296	0.0047719777600005	0.0664966255721612	0.424552429876725	0.303552803955554	0.0035454264485713	0.0069636929832812	0.0651386108672796	0.0106850862559921	0.0033620930921909	0.0009566174014507	0.0086417722604702	1.22399092653208e-05
Sub60	0.0513229335871559	0.0043113812220636	0.0046556870709969	0.0502366133138846	0.650326129070197	0.18319731591781	0.0035718267314536	0.0002274958194094	0.0358263653904302	0.0020691878426895	0.0052497180887362	0.0004574050678133	0.00848108427426	6.68566030994536e-05
Sub61	0.310079016580439	0.0110991966583917	0.0045421743769069	0.0227403521941069	0.279056038618057	0.244061995767657	6.83299856592281e-05	0.0046306524271637	0.0713126313590348	0.029041772561569	0.0018462439108042	0.0060528472630647	0.014511539202989	0.000957209094157
Sub62	3.50124474700165e-07	0.0451906390272217	0.0017467342469011	0.114278108292133	0.111824555854778	0.63326620852138	0.0221201809082218	0.0029087260965866	0.0470612508008758	0.0104586716140627	0.0093807110127948	6.53093916927432e-06	0.001756008010942	1.32455045797106e-06
Sub63	0.0129523301284633	0.0370302053272243	9.09696552559324e-06	0.0557829623524516	0.090301638961237	0.565311208085859	0.017470144994386	6.83961575555634e-07	0.110023738615611	0.0871291374010903	0.0009424115210493	0.0125400407277207	0.0105052622617638	1.13869604303563e-06
Sub64	0.031915891481369	0.0102755862424202	6.49153236069477e-07	0.0360005069660673	0.138737378820892	0.48537931087656	0.0022501795792653	4.22609586380279e-06	0.161348450008828	0.078640302464031	2.61885005969721e-05	0.0200843367683998	0.0351894721140738	0.0001475209283963
Sub65	0.0281505273994843	7.91929162839813e-07	2.8861446978784e-06	0.0983185303851386	0.3161223026267	0.296989101493699	2.48510752175052e-06	0.073160324482831	0.108503207310677	0.0403182075323433	0.0059858842072104	0.0144298600127853	0.0175280455281112	0.0004878458396382
Sub66	0.0206706800022249	0.0608027652420242	0.0058211099218476	0.0372339055930894	0.348839919306461	0.295139223817117	0.0002243906328069	0.0118233140280615	0.140840943090189	0.026107817193678	0.0006337950324539	0.0309895405945309	0.0206545758146957	0.0002180197308186
Sub67	0.0722381731997165	0.013046945166696	3.00056612037453e-07	0.0645686404580805	0.330216908127825	0.357509428238439	0.013038244511947	0.0007749734234391	0.0958299851165501	0.0328524311768954	0.0013503196703984	0.0043774807166322	0.0141780256114987	1.81445252707018e-05
Sub68	0.0253278183581198	0.0588823697539853	0.0126526384077463	0.138324546605116	0.125142565879722	0.44073988489926	0.0032040946544795	0.0050667951468692	0.138109298795439	0.0327983261612727	0.0020606083538629	0.0042183912988754	0.0134600710865666	1.25905986845051e-05
Sub69	0.016120588671387	0.0589975093553831	0.0215182472891532	0.0341634818166327	0.153049858432664	0.546335747698586	0.0093456254541177	2.06990656561411e-06	0.105991166894295	0.0346830594130081	0.0001641089560797	0.0058647171240315	0.0137619288686661	1.89011943029681e-06
Sub70	9.5492957342499e-06	0.0016605745294823	6.93914799447099e-07	0.179313604626988	0.374090776776338	0.350323194658428	0.0064680834383514	0.001166849749212	0.0688655066261138	0.0030042561321812	0.0034994017761221	3.24320117061228e-06	0.0115392061201466	5.5059154931574e-05
Sub71	3.89359238461553e-07	0.0067434864156777	2.09595789435619e-06	0.0237857343118449	0.485930046467856	0.439759714410466	0.0224264055139313	1.20529529668848e-06	0.0133529340395583	6.35949319997598e-05	0.0018107581607698	2.4593876235823e-06	0.0061187153590186	2.46038882330475e-06
Sub72	4.71343774424607e-07	0.0770595880531431	2.09817208028752e-05	0.127729229803908	0.076305620928201	0.5296884177202	0.0069073391391555	0.0019195765311905	0.111439948789812	0.0450636904530539	0.0023459574248317	0.0085158451979102	0.0130017403418989	1.59255211712929e-06
Sub73	0.0062756782169938	1.92142913571995e-06	0.0002247960022731	0.0725925013803013	0.329044076683189	0.506885942724281	0.0060973440881361	0.0015639587272815	0.0530925052501454	0.007116964442582	0.0005343143432262	6.4604153259589e-05	0.0165014378355403	3.95472365473826e-06
Sub74	0.0207693266813556	9.32840077653429e-07	4.43983995300082e-07	0.0632536908074912	0.680151630757979	0.193015508309847	1.48076929492017e-06	0.001568842229533	0.0335727310530485	1.14860183564646e-05	0.0005731832897671	1.36956272473469e-06	0.0070548020998729	2.45715966563913e-05
Sub75	3.08458666468604e-07	0.0024664023020718	5.06389492690427e-07	0.161811313830912	0.377913664314273	0.332421990419667	0.0073802419782664	0.0024175591887219	0.0846926493445017	0.009075455317584	0.0020519050944575	0.0015362910683234	0.0182292977960754	2.41449698602224e-06
Sub76	0.0105340383956582	0.0718323924142146	0.0288438593632741	0.0660777352594614	0.0912441695803654	0.597932601520988	0.001984822160632	0.0042851796743113	0.0926635574334323	0.0171594671149798	0.0003455205097754	0.0043986620128087	0.0126704516970921	2.7542863006752e-05
Sub77	0.016597004141715	0.0030875607747808	2.01045503264732e-06	0.089997360665768	0.380917573429171	0.325148656554405	0.0004226522584186	0.0001937115194374	0.120536243226182	0.0365134003953487	0.0013295756882186	0.0122295611875788	0.0129504056192017	7.42840847423859e-05
Sub78	4.32538792720089e-07	0.0415476677825128	0.0093541578003575	0.262402263022058	0.0856684037483672	0.487572307031151	0.0036329589996264	0.0018768494518792	0.0857640735415964	0.0069488607032331	0.0053092553216088	0.0002042904738972	0.0097004738607713	1.8005724147708e-05
Sub79	0.0142846467270998	5.41702783919659e-06	1.39409445332275e-06	0.174522138092312	0.405162329398043	0.343189016893406	0.0021592512598135	1.49218596316285e-06	0.0457780592229083	4.06192597396465e-06	0.0027260830892955	8.5160259800691e-06	0.0121201804198949	3.74136370173003e-05
Sub80	0.0018757784960978	4.04733747199378e-06	3.51036476448187e-07	0.137603214367231	0.632461694967388	0.172375844868558	0.0029376722787919	6.69575077086024e-07	0.0394100977274903	2.70509045445253e-06	0.0021122137435979	1.27381859076837e-06	0.011175895498007	3.85411947680843e-05
Sub81	2.94047198025358e-07	0.0509926865821331	1.56305359796937e-05	0.127053351134368	0.181741781523173	0.5225387492742	0.0219878981764569	1.70210871946388e-06	0.0674325352877217	0.0129413505211011	0.0004990691786869	0.0003754697912075	0.0144186033264412	8.78512614601958e-07
Sub82	0.0696491458503409	0.0328793723095864	0.0021221016185448	0.257455837665481	0.427147916277084	0.125556094752079	6.84119691642328e-07	0.0096099311639758	0.0672682880856062	5.82469728417738e-07	0.0025586302047612	6.57203681336941e-07	0.001585737087487	0.0041650211919519
Sub83	0.0141146315714741	9.88561084903276e-07	3.81675911032945e-07	0.064742209550311	0.631890427468495	0.212952911831509	1.10271197548177e-06	8.91816927690294e-07	0.0357979673600102	0.0154523615963389	0.0055622145793518	0.0077853746508789	0.0116696524861993	2.88841395322133e-05
Sub84	0.0007739858442985	0.0126034934969389	7.3179752010577e-07	0.220842030825798	0.292894325546889	0.316884003601352	0.00602116966935	7.04836772322448e-05	0.134855977575717	1.58786148233727e-06	0.0013537157544434	7.7804149385848e-06	0.0135976468929805	9.30670410591322e-05
Sub85	0.0018507410015672	0.0115445987905235	1.76629202348027e-06	0.101490803166421	0.345003746818748	0.456231197230485	0.0115485856572341	0.0007969802228355	0.0591209907596682	0.0006994461695296	0.0004412621832533	3.1901228434724e-06	0.011264559204758	2.13238010933327e-06
Sub86	0.0070289656037503	0.0087192106895857	4.48765275019137e-06	0.148127261389528	0.279229544851286	0.470077649020579	0.0108795547656584	1.8160995840052e-06	0.0566210061766658	0.0008916231263444	0.0004112077211122	0.0030245371147431	0.0149814302476212	1.70554079175657e-06
Sub87	0.0124579451145471	1.07011880861864e-06	3.96489844614379e-06	0.120893954643382	0.316569480756404	0.343273042262377	4.21793713066417e-06	0.0084842128258382	0.122076268477905	0.0436350018717034	0.0104873742718874	0.0110817126801008	0.0108498517377325	0.0001819024037368
Sub88	3.94329070948288e-07	0.0260131436959258	0.0126495971142854	0.0796921089305878	0.0282781420866574	0.71048143661563	0.015991575799339	0.0278875600952766	0.0638586954419037	0.0147911208966418	0.0007184411457199	0.0031223426666488	0.01650973711358	5.70406873247404e-06
Sub89	1.24824976304172e-06	0.0340984902852933	0.0100849284256518	0.0631547787902042	0.0682871567912566	0.661001723742577	0.0015093230694757	0.0039310215339401	0.093709162157594	0.0372648537108003	0.0018440634073651	0.012003497687304	0.0130569298768533	5.28222719211846e-05
