	beta	alpha	gamma	delta
Sub1	0.41892154800000003	0.45975469799999996	0.058305324400000004	0.063018433
Sub2	0.365628732	0.558168372	0.040080951600000005	0.0361219036
Sub3	0.37257564600000004	0.48557870200000003	0.0693027086	0.07254296680000001
Sub4	0.5028984839999999	0.315242122	0.12154261179999999	0.0603167746
Sub5	0.47465732000000005	0.38576383999999997	0.06734949999999999	0.07222933680000002
Sub6	0.600831082	0.29857125599999995	0.0459391932	0.0546584604
Sub7	0.500887954	0.40046560600000003	0.0415671476	0.057079289600000006
Sub8	0.566709714	0.33416683	0.049395715800000004	0.0497277518
Sub9	0.418377014	0.439067734	0.059739027199999996	0.0828161972
Sub10	0.52991516	0.376292622	0.0358810492	0.0579111638
Sub11	0.309466028	0.522333178	0.0778928688	0.09030794
Sub12	0.313814898	0.550729956	0.060882718	0.07457242
Sub13	0.45909984000000004	0.396989286	0.0814232532	0.062487647800000004
Sub14	0.400224714	0.44878056600000005	0.075392026	0.075602699
Sub15	0.49168664	0.41186901200000003	0.0452243492	0.051219990199999996
Sub16	0.545133818	0.326391528	0.06517192320000001	0.063302729
Sub17	0.52802064	0.317745322	0.0765597846	0.07767425
Sub18	0.468018532	0.402028878	0.06088720059999999	0.069065411
Sub19	0.46574421800000004	0.41210468	0.0651363562	0.05701479599999999
Sub20	0.5256631460000001	0.37102269000000004	0.04754592740000001	0.05576825440000001
Sub21	0.633610782	0.283127698	0.0402723224	0.0429892302
Sub22	0.49792344199999994	0.399973022	0.0489152496	0.0531883036
Sub23	0.423174768	0.41825811799999996	0.0919369076	0.0666301958
Sub24	0.49302465399999995	0.371069414	0.06134651919999999	0.0745594122
Sub25	0.374584388	0.45123369	0.09037063919999999	0.083811284
Sub26	0.506401686	0.38339262	0.0487326594	0.0614730718
Sub27	0.437620348	0.436166634	0.059092576400000006	0.0671204664
Sub28	0.5004479199999999	0.405110892	0.0398086958	0.054632517199999994
Sub29	0.4755299839999999	0.3981874	0.0637807176	0.0625019086
Sub30	0.476413594	0.430897916	0.0488831238	0.0438054012
Sub31	0.474359672	0.42172585000000007	0.0397796076	0.06413491140000001
Sub32	0.30327466	0.55825624	0.07197104939999999	0.06649802200000002
Sub33	0.523127554	0.326122766	0.08175576920000001	0.06899388399999999
Sub34	0.44044462000000006	0.454145486	0.045509372400000005	0.059900517
Sub35	0.4783991	0.380574652	0.0703764506	0.0706498116
Sub36	0.395677978	0.43864064599999997	0.0895810852	0.07610028199999999
Sub37	0.393055414	0.4788269339999999	0.0674099878	0.06070769680000001
Sub38	0.538377384	0.32923562	0.07395020319999998	0.0584367784
Sub39	0.536190824	0.311191814	0.0761345262	0.07648284740000001
Sub40	0.34903987399999997	0.490508364	0.06598293340000001	0.0944688468
Sub41	0.345223682	0.5540971100000001	0.0408650428	0.05981416679999999
Sub42	0.293313078	0.572725478	0.06449343020000001	0.06946802099999999
Sub43	0.35843482	0.519958774	0.060992715600000004	0.06061367799999999
Sub44	0.437453644	0.411188894	0.066585767	0.08477170839999999
Sub45	0.425524836	0.409510858	0.08940867320000001	0.07555560700000001
Sub46	0.40210285199999996	0.471079884	0.06743874279999999	0.059378503000000006
Sub47	0.450413962	0.40961570199999997	0.07327443619999999	0.0666958588
Sub48	0.444563576	0.39351092	0.0919169732	0.0700085468
Sub49	0.455684928	0.44470917399999993	0.0489937988	0.05061209099999999
Sub50	0.493674854	0.403282128	0.046709225199999996	0.056333794000000006
Sub51	0.461654414	0.4049604459999999	0.07411016320000001	0.0592749452
Sub52	0.385700016	0.44279373800000005	0.08280640759999999	0.08869982839999999
Sub53	0.32821339	0.478254238	0.109184005	0.08434836720000001
Sub54	0.466295882	0.399185926	0.069871113	0.0646470592
Sub55	0.36768463799999995	0.44269973999999995	0.1083848688	0.081230747
Sub56	0.30094356	0.55199699	0.061075442599999995	0.08598397519999999
Sub57	0.49766278599999997	0.38264821800000004	0.060460683800000005	0.0592282936
Sub58	0.439409244	0.414946096	0.073042416	0.072602254
Sub59	0.47280075200000005	0.37833453200000006	0.0829556682	0.06590907260000001
Sub60	0.37211581000000005	0.447969758	0.07964695000000001	0.10026747620000001
Sub61	0.36343221	0.47858489400000004	0.078351068	0.079631849
Sub62	0.42259741799999995	0.48759077799999995	0.0452798044	0.0445319358
Sub63	0.496802574	0.4025981639999999	0.0426948584	0.0579043926
Sub64	0.495818494	0.374877436	0.055525387999999995	0.07377867680000001
Sub65	0.25003960599999997	0.536707826	0.145040314	0.0682122406
Sub66	0.5654869920000001	0.287020892	0.071601298	0.0758907932
Sub67	0.463790528	0.41493051000000003	0.0576308772	0.063648073
Sub68	0.515918608	0.345704714	0.07249133919999999	0.0658853602
Sub69	0.5347176680000001	0.342603922	0.053394187999999995	0.06928423079999999
Sub70	0.420407034	0.466707396	0.0510205656	0.0618649926
Sub71	0.388099038	0.47797734	0.05911359940000001	0.07480998400000001
Sub72	0.67205102	0.24116069600000004	0.049902453199999995	0.0368857848
Sub73	0.30671506800000004	0.570249946	0.0638780176	0.0591569624
Sub74	0.24812430600000002	0.6001775859999999	0.07657110999999998	0.07512700339999999
Sub75	0.43938689599999997	0.43142150799999995	0.0612734296	0.06791816120000001
Sub76	0.493813866	0.355300042	0.0748013762	0.0760847234
Sub77	0.39663740000000003	0.47420915199999997	0.067580943	0.061572471799999993
Sub78	0.487041708	0.39544626800000005	0.06699506920000001	0.0505169464
Sub79	0.396419924	0.476885168	0.0583535414	0.0683413912
Sub80	0.38197068999999995	0.481081994	0.0568358586	0.080111435
Sub81	0.540993538	0.34684973399999997	0.059485340799999994	0.052671370800000006
Sub82	0.35457573400000003	0.458982986	0.0910786398	0.095362639
Sub83	0.38624894800000004	0.49208913199999993	0.048340111000000005	0.07332184759999999
Sub84	0.47100848399999995	0.40952146999999994	0.049059911	0.070410138
Sub85	0.41811429800000005	0.45126626999999997	0.0564978372	0.07412158399999999
Sub86	0.41876908	0.47240171000000003	0.0461544498	0.0626747624
Sub87	0.274570262	0.584660084	0.07077284000000002	0.0699967882
Sub88	0.4078575099999999	0.435531252	0.074691043	0.0819202118
Sub89	0.476409744	0.414936984	0.0530339502	0.0556193112
