	beta	alpha	delta	gamma
Sub1	0.344411387466063	0.515330676121173	0.0304509708234469	0.109806965589316
Sub2	0.347594449258337	0.603511953968889	0.0141987900428963	0.0346948067298785
Sub3	0.25136534257973	0.518069698115575	0.10940526414646	0.121159695158236
Sub4	0.434041428943524	0.400634108729693	0.0303767069191268	0.134947755407656
Sub5	0.350988531323452	0.41441280611778	0.0425125836605262	0.192086078898241
Sub6	0.492485856404384	0.455493257193085	0.0218996622258407	0.0301212241766896
Sub7	0.410526919857256	0.456070161990287	0.0497448237413638	0.0836580944110928
Sub8	0.460639571882758	0.40399555295203	0.067363118207471	0.068001756957741
Sub9	0.362974263094177	0.478181008917874	0.046746853894119	0.112097874093831
Sub10	0.426395960656894	0.448626949569893	0.0255418168143393	0.0994352729588737
Sub11	0.136649063683039	0.529048861317022	0.124369217736501	0.209932857263438
Sub12	0.269084445656057	0.558047388965032	0.0498126995201966	0.123055465858714
Sub13	0.369381237102023	0.452230722251374	0.070511216507072	0.107876824139532
Sub14	0.275970532806854	0.503638038826042	0.0319992694281836	0.188392158938921
Sub15	0.423384179535977	0.476903766288576	0.0464426710435825	0.0532693831318639
Sub16	0.439512035186255	0.418839140807447	0.0650505326493908	0.0765982913569072
Sub17	0.40279229716758	0.462190734847724	0.0906315786485401	0.0443853893361565
Sub18	0.380283640732314	0.461708245064136	0.0698706953597039	0.0881374188438458
Sub19	0.314727668633523	0.454654488600721	0.0875824465933312	0.143035396172425
Sub20	0.452908464558898	0.478065596533815	0.0498624431417745	0.0191634957655131
Sub21	0.551714666860748	0.369215410100176	0.0679367924832801	0.0111331305557955
Sub22	0.36628478465813	0.476880179310083	0.0196253393068222	0.137209696724964
Sub23	0.323404458294698	0.46722897196738	0.0748222700442117	0.13454429969371
Sub24	0.360291447735094	0.442012869756936	0.0941691973801168	0.103526485127853
Sub25	0.246412473571088	0.515057187033429	0.0444857857901195	0.194044553605365
Sub26	0.330858082116216	0.424724637339618	0.0465759701280881	0.197841310416078
Sub27	0.282707069092811	0.475856560411174	0.107387936943947	0.134048433552068
Sub28	0.390596302610888	0.467189614612671	0.0201831688429871	0.122030913933454
Sub29	0.372503498781307	0.502884931765089	0.0649986187537155	0.0596129506998883
Sub30	0.391982491181097	0.527979760613573	0.0327291351549285	0.047308613050402
Sub31	0.366585465563753	0.517367309317747	0.0366906485836562	0.079356576534845
Sub32	0.209683719922748	0.565104439192762	0.0885388352698643	0.136673005614626
Sub33	0.404918481507022	0.459900637559203	0.0675989025373873	0.0675819783963871
Sub34	0.300935817270638	0.474699586959333	0.105708070533353	0.118656525236677
Sub35	0.275620089139697	0.423018962622885	0.101481895290688	0.199879052946728
Sub36	0.25079920065823	0.438645952523364	0.0916583242556241	0.218896522562781
Sub37	0.352984481864999	0.526414222083938	0.0644857235868975	0.0561155724641656
Sub38	0.449448101846378	0.419640668259494	0.0740119050666387	0.0568993248274892
Sub39	0.311220644845141	0.335804861481058	0.147900558677496	0.205073934996305
Sub40	0.150887323081759	0.443651323441243	0.130018633163118	0.27544272031388
Sub41	0.268550351142194	0.586453986147967	0.0570651378117895	0.0879305248980504
Sub42	0.247820949843304	0.55841808332972	0.0762488321060797	0.117512134720896
Sub43	0.306907788930935	0.548194058730586	0.0523883124562438	0.0925098398822368
Sub44	0.324507724701696	0.469405442543661	0.0705717346594407	0.135515098095202
Sub45	0.358097441226089	0.487477967106646	0.0704644050516356	0.0839601866156282
Sub46	0.242185420012342	0.42098641328305	0.101601993220105	0.235226173484503
Sub47	0.257495341284044	0.421265769170845	0.137928513239186	0.183310376305926
Sub48	0.399884513111488	0.421071598225639	0.0624780812190352	0.116565807443838
Sub49	0.424902931178228	0.496868838391403	0.0254274441284267	0.0528007863019416
Sub50	0.42059303512195	0.477953608473636	0.031024297932964	0.0704290584714505
Sub51	0.362631768802544	0.467848317847161	0.0540232427084865	0.115496670641808
Sub52	0.258131341072621	0.413993023622114	0.173690632106841	0.154185003198424
Sub53	0.20079802255951	0.481675370206614	0.0897919972015897	0.227734610032286
Sub54	0.309402776131853	0.470518505279597	0.079148057740228	0.140930660848322
Sub55	0.261654477488406	0.448251190986776	0.0775664789493482	0.21252785257547
Sub56	0.282090809541557	0.51301053577411	0.0371769940900431	0.16772166059429
Sub57	0.387535833538958	0.486532441698103	0.0262580109271812	0.099673713835758
Sub58	0.377632243104099	0.455455550180892	0.0681375286485948	0.0987746780664138
Sub59	0.314048540903874	0.441296556225767	0.0706636661331572	0.173991236737202
Sub60	0.234767736615641	0.493852393423102	0.0808471521190481	0.190532717842209
Sub61	0.137309151388818	0.366097547403619	0.201969191195936	0.294624110011628
Sub62	0.362975210553557	0.573597009452929	0.0310050404914019	0.0324227395021125
Sub63	0.407080001754019	0.492284610651241	0.041982282059781	0.0586531055349592
Sub64	0.379200963824529	0.479771138724728	0.0346574598681333	0.10637043758261
Sub65	0.205831052287706	0.512102807775946	0.0549376944012906	0.227128445535057
Sub66	0.370407997977839	0.418973194790978	0.0864825919156257	0.124136215315558
Sub67	0.29240019666994	0.456427401855649	0.0714869392909585	0.179685462183453
Sub68	0.399568265932481	0.440418593677397	0.0746447630418898	0.0853683773482326
Sub69	0.420583898711871	0.430876244584191	0.0901511517272738	0.0583887049766649
Sub70	0.331861752876773	0.523694971840833	0.0237720127963685	0.120671262486025
Sub71	0.346918842120432	0.507379889879696	0.0286888598250493	0.117012408174823
Sub72	0.547767135822266	0.393826835927101	0.0232225468793892	0.0351834813712439
Sub73	0.269154716903787	0.59197880045879	0.0349950138395106	0.103871468797912
Sub74	0.242843528802493	0.541902784477479	0.0302306104935738	0.185023076226454
Sub75	0.393996577391275	0.493519397242961	0.0266693003371129	0.085814725028651
Sub76	0.415444674598846	0.43829888138775	0.0909476104293609	0.0553088335840417
Sub77	0.302443527628398	0.524013756811935	0.0530743861836563	0.12046832937601
Sub78	0.39837053663569	0.514180284778165	0.0452004028441467	0.042248775741998
Sub79	0.291615025606027	0.556953272762394	0.0298294566748429	0.121602244956735
Sub80	0.259711436834508	0.594759523631672	0.0219439030870113	0.123585136446808
Sub81	0.467291658873029	0.453655253290739	0.0304329791784372	0.0486201086577947
Sub82	0.202799691794385	0.602772965394683	0.085877034945586	0.108550307865346
Sub83	0.257738760748117	0.550348092163374	0.0303330150196272	0.161580132068882
Sub84	0.361950315280265	0.540267579189973	0.0263571192926152	0.0714249862371469
Sub85	0.342903366834893	0.546755437832907	0.0296965470251105	0.0806446483070898
Sub86	0.360881933644386	0.536416460861958	0.0328987042968649	0.0698029011967918
Sub87	0.250969197458238	0.589717774194314	0.0509603815551333	0.108352646792314
Sub88	0.375151789850422	0.500835956849009	0.0473787533728322	0.0766334999277376
Sub89	0.39590151543307	0.519672304337148	0.0460575894779954	0.0383685907517875
