Mixture	alpha	beta	gamma	delta	acinar	ductal	endothelial	activated_stellate	quiescent_stellate	P-value	Correlation	RMSE
Sub1	0.188970205987072	0.0999988262050508	0.0432182345298526	0	0.0846430409424195	0.434680826966769	0.0476931638394034	0.0993441683087441	0.00145153322068913	0	0.956669467208387	0.546638683657846
Sub2	0.415329590650174	0.346927656837958	0	0	0.0142252668916767	0.0839200166362966	0.0326207959732595	0.0973644675192843	0.00961220549135078	0	0.978573974176574	0.209782604595614
Sub3	0.17060063921664	0.344314656906481	0	0.0393369935869025	0.181004842362982	0.156051646028968	0.0310588971732252	0.0489019564417157	0.0287303682830858	0	0.964884121258284	0.496765795944027
Sub4	0.250261720323928	0.246791636032207	0.169113332740577	0.00943232641327957	0.0529774194936803	0.130610897560283	0.0368407368345397	0.0931653150156545	0.0108066155858505	0	0.941966985927623	0.465325078240718
Sub5	0.0880202450286126	0.406856307658769	0	0	0.203364516992178	0.251050935969218	0.0214012777456758	0.00149628815315959	0.0278104284523879	0	0.863440827843599	0.64356832165
Sub6	0.337941064841375	0.169168849006412	0.0995164254841423	0.00614833354204878	0	0.0297984341294803	0.207131937785732	0.0569203371131243	0.0933746180976858	0	0.950826620667283	0.360242848509303
Sub7	0.200880429912461	0.548867316428512	0	0.000979086738734957	0.07418315945539	0.0927619651398277	0.0451458553435536	0.0182455625488664	0.0189366244326538	0	0.913872792543698	0.518489451039431
Sub8	0.0961311257533508	0.561076124810782	0.0122603983889578	0.023983663632036	0.0900943953197432	0.0531345422833824	0.0668837752297389	0.0774214377496556	0.0190145368323528	0	0.934943531802861	0.6066197731856
Sub9	0.113137694005772	0.247835154589214	0.00115018110939484	0.00244803885214368	0.11751427336417	0.376017598887887	0.0595538161191614	0.0747056770528903	0.00763756601936603	0	0.916488346538564	0.655491695715723
Sub10	0.10902634444064	0.393328696483431	0	0	0.104756916152909	0.268648361684932	0.0624711172201429	0.0283428233329444	0.0334257406850004	0	0.838501156546278	0.688722516341909
Sub11	0.0153398119858264	0.0112980395085696	0.00927659130007805	0	0.460846906554517	0.344228232858096	0.0778365834367334	0.0328828520331894	0.0482909823229898	0	0.936774366258102	0.447192525259749
Sub12	0.166598832079119	0.0563595148298925	0.0527856376340403	0	0.18540511980648	0.255130527156642	0.0992296954008125	0.156920262678619	0.0275704104143941	0	0.962800756721997	0.541217962214673
Sub13	0.131754021429668	0.254630789645345	0.124556097087459	0.0303015427932375	0.0725986078177867	0.197626892581601	0.0917096719925565	0.0459049304381625	0.0509174462141847	0	0.950844975607994	0.618970408380722
Sub14	0.0494197115198251	0.0592990474498613	0.00318027657400008	0	0.276485510139121	0.482282101726822	0.036745061077149	0.0925882915132218	0	0	0.901389906022292	0.619993011410161
Sub15	0.449871403212173	0.315100279551355	0	0.00421263382641736	0.0255557610132085	0.122989031664936	0.0243933528420227	0.0377265341995286	0.0201510036903587	0	0.976024525683643	0.2202412053029
Sub16	0.14556755899408	0.289388433504919	0.0745978677337877	0.0276380226698013	0.103068255986433	0.177081203557575	0.0650142541952613	0.0946529191665307	0.022991484191612	0	0.953098584491099	0.589517163775381
Sub17	0.235062202489415	0.325158099005448	0.00942539260616248	0.106081305491271	0.0144241998474791	0.10386207818549	0.0999435497800468	0.0437352006818229	0.0623079719128648	0	0.958689271827887	0.447341227820183
Sub18	0.201002816520349	0.243099788162016	0.0196316325507157	0.0355707949428445	0.0782236591672995	0.175637769494726	0.115790445708044	0.0890363571748103	0.0420067362791956	0	0.973884931134311	0.503974663054671
Sub19	0.19767539995214	0.345978535011865	0.0110659025439526	0.0115425683787282	0.14616838258225	0.154604014846481	0.0668220442071931	0.0427224874848533	0.0234206649925367	0	0.954575039066246	0.492167470965296
Sub20	0.52834702095742	0.205445332987322	0	0.0259057753804367	0	0.0749533864154489	0.0523464568363458	0.0905011987731424	0.0225008286498843	0	0.9896430965281	0.21636975034582
Sub21	0.258827156083587	0.578631919267183	0	0.0334253859436193	0	0.0346033202573165	0.0234084458278083	0.0514406703927631	0.0196631022277219	0	0.901062394229688	0.480832193689261
Sub22	0.173908412918353	0.295726815246814	0.000346039603114276	0	0.0875643965365816	0.236156180857257	0.0443347078451876	0.15454961009345	0.00741383689924328	0	0.888657670865016	0.612816575971412
Sub23	0.415010507466822	0.160264562064218	0.0127137965197124	0.029084718392129	0.160444390342207	0.176112327840101	0.0139976906142933	0.0319743973616843	0.000397609398832874	0	0.981007410494123	0.196179805769537
Sub24	0.118739573516714	0.266948517339129	0.0140444161478072	0.0565048107529607	0.0926889749128061	0.272788649233331	0.0657890846448579	0.0749819116934714	0.037514061758923	0	0.95561807547959	0.625305304767588
Sub25	0.116696233369706	0.0572300104782794	0.00916803626071257	0.00455564655223462	0.190306540949878	0.519865524757016	0.0104346981209201	0.0917433095112527	0	0	0.897995765156288	0.631426270384478
Sub26	0.110701149785641	0.357916920770691	0	0	0.26318955054914	0.198395252393883	0.0190859065334175	0.0250954703460932	0.0256157496211341	0	0.930047211423198	0.546339663563132
Sub27	0.214991731743084	0.259131623058012	0	0.0172582275409406	0.195868890377992	0.179927271719477	0.0718159160894954	0.0408332589519317	0.0201730805190666	0	0.959134410241931	0.453027462473028
Sub28	0.402391880615475	0.299210938701483	0	0	0.0762345711440912	0.149652085411355	0.0171414306240746	0.0153541230145318	0.0400149704889899	0	0.971758627071793	0.241136228830991
Sub29	0.548946858615438	0.175745479797238	0.00357582554628038	0.0248398209253441	0.02566080295665	0.106179968137158	0.0423166792879874	0.0187654219541543	0.0539691427797491	0	0.985962313828366	0.270737592025908
Sub30	0.435362858053087	0.381693733469748	0	0	0.0452696022777714	0.0508156568254874	0.0273912455941232	0.0343924807786376	0.0250744230011452	0	0.977747510727311	0.210096805167399
Sub31	0.228698720544294	0.269759529629645	0	0	0.117717148767524	0.257043517571745	0.0760212720611071	0.0138909830908209	0.0368688283348639	0	0.924608854008437	0.502260548230363
Sub32	0.227114399024384	0.0182172311778398	0.0253547688689653	0.00674635481481636	0.210077905975537	0.218568170207828	0.0866693931053482	0.152755918726685	0.0544958580985968	0	0.980763478078129	0.42006121692142
Sub33	0.40276431811594	0.285918474418471	0.00736191456763607	0.0355954750421789	0.0802158435800985	0.0875629196661426	0.060882988855065	0.00685072874319285	0.0328473370112755	0	0.979539516268344	0.209287949545955
Sub34	0.449152821135545	0.253295905319853	0	0.0256640814395419	0.143297576505755	0.0245828801917367	0.052968202900382	0.0183948761624316	0.0326436563447546	0	0.983223422607285	0.185886020376982
Sub35	0.0833238365335096	0.154365335890393	0.0978710378480727	0	0.318125437127334	0.204261308526041	0.0507794258121672	0.0510141020522147	0.0402595162102672	0	0.943718168331819	0.531241984900059
Sub36	0.218892878258592	0.0900130328035369	0.00249333026611418	0.0100415254407467	0.383305865623886	0.24997549405329	0.00588363483161463	0.0255551176672612	0.0138391210549581	0	0.965425456390465	0.340430362586935
Sub37	0.666593713771043	0.122194947067017	0	0.0162044455352955	0.0425693072556918	0.0878242461743165	0.0126801776374363	0.0250254569100181	0.0269077056491816	0	0.983708197977385	0.482646751139747
Sub38	0.2771955278986	0.526351825804591	0.0320104980860669	0.0519549135182517	0.0160389794976435	0.00900276388776625	0.0296360729183533	0.0343305251118524	0.0234788932768758	0	0.972440430977422	0.34484013727977
Sub39	0.090446692500189	0.43606213363495	0.0851760848046752	0.0331956013080989	0.194381996428992	0.118535439912521	0.0314811395505187	0	0.0107209118600563	0	0.838223841439163	0.657384708567026
Sub40	0.054764977445574	0.0638103975777366	0.016292251969639	0	0.600121786732211	0.154619085904639	0.0466433590012214	0.0479416463019103	0.0158064950670689	0	0.975575103110812	0.260472922983227
Sub41	0.28366813428499	0.219725444704121	0.00879546383243327	0.008854672861085	0.151565641168685	0.222872724470842	0.0378349275417411	0.0483590772957716	0.0183239138403308	0	0.979144551896117	0.342840321672924
Sub42	0.312588905952758	0.0680531751675051	0.00508941655226319	0.0182066639992237	0.210146899241085	0.245730736122714	0.0481097610211841	0.0380842695215526	0.0539901724217146	0	0.983546696833934	0.276349582721624
Sub43	0.679780552882245	0.0276292926905385	0	0.00698854452761264	0.0990755862882937	0.092830872676462	0.0333070105952378	0.0245530697412687	0.0358350705983417	0	0.985208574940849	0.502380231313842
Sub44	0.410186043243837	0.0273123808604293	0	0.0295122448344889	0.181991073307201	0.204284412350505	0.0428034587471783	0.0732238211605192	0.0306865654958409	0	0.985853442697802	0.173752958144047
Sub45	0.737858387504753	0.0514585731108286	0.0163039020422329	0.0351819790750779	0.0126142379235334	0.0508349139580677	0.051006286300413	0.00345625389367142	0.0412854661914218	0	0.986548562312512	0.609217434161311
Sub46	0.384070456724998	0.0176622222290861	0.00435551354121918	0	0.414395968956263	0.098804668366103	0.043419420939508	0.00518731397857551	0.0321044352642467	0	0.978446946002023	0.210195890294779
Sub47	0.180663612800166	0.24211067593045	0.0177728778572595	0.0278776010684882	0.256631821713984	0.126969687625486	0.0898715090403903	0.0248454399144447	0.0332567740493313	0	0.922033798663296	0.509873758190818
Sub48	0.307127227542552	0.36994741457551	0.0847717584987316	0.0270378781783966	0.0445101819317473	0.0902574144082247	0.0257989373714633	0.0217567726225061	0.028792414870869	0	0.994977314016427	0.268869324003063
Sub49	0.570549467517698	0.250459281230923	0	0	0.0130675478335046	0.111427079205205	0.0175588186801147	0.019677568968128	0.0172602365644266	0	0.978631085589665	0.336449374609219
Sub50	0.544720238482043	0.108406198672998	0	0	0.0902223500758437	0.128922482069895	0.0545069095642428	0.0375297058386738	0.0356921152963044	0	0.987472138884401	0.254507962898761
Sub51	0.300825417074969	0.193284602697604	0.0329726237806457	0.0161263286364192	0.114718391135881	0.235347109173105	0.0376970864046107	0.0393247979864019	0.0297036431103634	0	0.977119636162355	0.331589838788619
Sub52	0.375401839188938	0.111485756847367	0.00748587146644415	0.151048353635311	0.148731811624417	0.188451462797971	0.0131898808083418	0	0.00420502363121027	0	0.954864992339752	0.30172864613999
Sub53	0.106086520223458	0.0249046020838331	0.0183583105936742	0	0.372843148660445	0.324149019006214	0.0498613028313692	0.101394830616761	0.00240226598424492	0	0.975170416197587	0.435069361616661
Sub54	0.277298537720223	0.143794311424063	0.0138077210283416	0.0110080350057234	0.233490310116562	0.19399986413497	0.0604140879395249	0.0488045742793272	0.0173825583512642	0	0.986816866444407	0.310294741904732
Sub55	0.0725016372937335	0.282131772336147	0.0330937594565042	0.00381822995122132	0.286237507457723	0.266465666571429	0.0146861935598364	0.013744875555145	0.0273203578182603	0	0.967873239231823	0.52921375943681
Sub56	0.0662079459956162	0.0175173678847607	0.00288831452316565	0	0.373136230104392	0.418537273901459	0.05356617015943	0.0262995215026645	0.0418471759285123	0	0.945190467243349	0.489951980989755
Sub57	0.319181177976998	0.264625021230278	0	0	0.080668760572918	0.174582742831127	0.0359630659349936	0.0951566248969113	0.0298226065567737	0	0.978617376883085	0.30773306932538
Sub58	0.198632497277041	0.253406247943982	0.199181039487108	0.0414853700899482	0.0336604425699323	0.20202864152201	0.054109546133687	0.0133963402074294	0.00409987476886184	0	0.922896716628121	0.54408555238494
Sub59	0.13864775186619	0.344858622035863	0.0118071187713925	0.00251828795218282	0.177065285647757	0.241243497618502	0.0404406846429914	0.0389282219760554	0.0044905294890661	0	0.953939405923628	0.552212552296634
Sub60	0.0982771841361525	0.188772618580236	0	0.00344731886982504	0.237231667450212	0.418968029514677	0.0120059561115739	0.0258318835841965	0.0154653417531273	0	0.946338265096981	0.573135278463187
Sub61	0.203257351833874	0.120573812474046	0.00969944226737404	0.00240684504006567	0.515928282379064	0.100627118815752	0.0307491531418997	0.00712363554502871	0.00963435850289682	0	0.952844954013993	0.320315361313845
Sub62	0.560384466676223	0.300118759943272	0.00112282383850532	0	0	0.0337618146156747	0.0228700272209741	0.0597128088964453	0.022029298808905	0	0.985953888613451	0.291377033845178
Sub63	0.502238610336715	0.292733251210253	0	0	0.0359408651582086	0.0322336039761101	0.0561860818137169	0.0236264367830482	0.057041150721948	0	0.983014133509261	0.224012538277367
Sub64	0.364320385713165	0.0966897945786768	0.0621812072787064	0	0.236319486649991	0.0825035449708017	0.0898433342418721	0.0111851430702883	0.056957103496498	0	0.97518775429478	0.242131220788187
Sub65	0.182351733175385	0.054124409419055	0.230013608248104	0.0055421279190171	0.0717140911103073	0.244413112924279	0.0831008045616037	0.0787264978122006	0.0500136148300489	0	0.980284339652611	0.524576426785253
Sub66	0.0767651255435476	0.225384327937917	0.141551861789196	0.0383333143962835	0.0772662207944463	0.285689451290781	0.122168649716578	0.0216477506604516	0.0111932978707987	0	0.872923794055725	0.726797886628028
Sub67	0.103661446290294	0.27186929124557	0.00293575841250819	0	0.297888952363454	0.206137540979922	0.061500256903861	0.0456567093361655	0.0103500444682249	0	0.939247257214446	0.531830260084541
Sub68	0.286539174404544	0.257459702621622	0.0254958447027704	0.0418496628484754	0.100855502989963	0.0552223624698003	0.0988700891151152	0.0830045386903298	0.0507031221573802	0	0.979113407571907	0.351976605084107
Sub69	0.471454999614716	0.205725089645998	0.00181256365871847	0.0810326852466992	0.061639770852215	0.0952906720673083	0.0566395007446748	0.0151137947874542	0.0112909233822157	0	0.984009854949456	0.191359149141706
Sub70	0.288860345995998	0.0794122653784285	0.00604546124534941	0	0.0984260922856313	0.256974916168778	0.0599909082702208	0.183621373319383	0.0266686373362109	0	0.948599018917402	0.419123210474268
Sub71	0.336798832933573	0.357267927080825	0	0	0.0323785028114158	0.255869622907331	0.00117738281225962	0.0063969161807077	0.0101108152738879	0	0.949710277328202	0.347405407375277
Sub72	0.41095117564363	0.257622389467582	0.00768991725800536	0.00855146842939259	0.0106615704308559	0.0607542642321863	0.0813816803791659	0.104596936477805	0.0577905976813772	0	0.976791725447502	0.221765800460539
Sub73	0.563493194520787	0.0763438016799664	0.00163658367496685	0	0.0641004349849142	0.198453166697059	0.034608669071316	0.0384964677676344	0.0228676816033556	0	0.98943513497333	0.27438639569473
Sub74	0.175961463964026	0.0296804441520762	0.00364100300818755	0	0.206591878403663	0.492203276830786	0.0295300602377225	0.0460147398836804	0.0163771335198582	0	0.918501284174453	0.54373752838401
Sub75	0.162812949829183	0.147555757217399	0.0604595983196483	0	0.014975940513377	0.363769630392295	0.0729261801628662	0.124369196262316	0.053130747302915	0	0.925700250013218	0.624923704277851
Sub76	0.517412497526712	0.188753702978835	0.0106808817960515	0.0811608753969818	0.0663614922295341	0.0358806694536219	0.0529723920492992	0.0376035335507146	0.0091739550182507	0	0.989504951319642	0.209573341040094
Sub77	0.271067460170992	0.049712231179725	0.0246606166404013	0.00332948940614617	0.107318878210678	0.341644898947128	0.105503207042801	0.0531492229974571	0.0436139954046716	0	0.981987667905046	0.380452657331992
Sub78	0.45144212235112	0.161383768541577	0.0240389509503024	0.0178319546553625	0.00123720438537997	0.0503108946523307	0.063772185534454	0.194671074810981	0.0353118441184918	0	0.983920795399856	0.178719548323918
Sub79	0.394161175047521	0.00207641825645376	0	0	0.156152613904186	0.258913576819856	0.0564850986820305	0.132211117289952	0	0	0.973690307796174	0.241634059819561
Sub80	0.165233288024608	0.0215278473516522	0	0	0.182585825989417	0.44104390329972	0.081159477802072	0.108449657532531	0	0	0.853765326082432	0.629615163916484
Sub81	0.299365933120929	0.467709959084111	0	0	0.0120460064655042	0.0925567194864974	0.0368323381284892	0.0768599981777106	0.0146290455367582	0	0.954251106223508	0.370274255206318
Sub82	0.029283790306206	0.228467084500441	0.0224789414935083	0.0156246579122843	0.164187510396226	0.273496474719519	0.10978229438565	0.14329057385265	0.0133886724335153	0	0.793031284819663	0.769558149109119
Sub83	0.127245435168277	0.0254101388751537	0.00701668149571153	0	0.281534703688478	0.498915154325326	0.0185973102401352	0.0395134269556152	0.00176714925130378	0	0.925926066352832	0.537753482835393
Sub84	0.139410250426132	0.159549437264473	0.0337349484186287	0	0.0601241334500893	0.270550997018317	0.161532113220671	0.175098120201689	0	0	0.896568412466937	0.677863105599098
Sub85	0.284824238190988	0.337013703995436	0.00129906723652456	0	0.0299988202697485	0.22974036347701	0.0440475406001824	0.0646651840686879	0.00841108216142243	0	0.962387784263841	0.386015149434883
Sub86	0.433559539635526	0.112071321523052	0	0.00181982420493767	0.0913069805262148	0.168035023785179	0.0541307392237339	0.122347715529264	0.0167288555720925	0	0.983375024366342	0.183334685488881
Sub87	0.217970124823668	0.0188150795096943	0.131170728728682	0.0112700686675426	0.037131939047118	0.280425134479831	0.12750178446145	0.090004275750294	0.085710864531721	0	0.970823059548484	0.498369072142305
Sub88	0.526998898314982	0.308647272533753	0.0365393609977491	0.0172885037430872	0	0.00172518386275438	0.0318837231160409	0.0463959801824813	0.0305210772491527	0	0.986700322848993	0.238230199310709
Sub89	0.397356130397219	0.264540362824873	0.115195945068968	0.024902255408888	0	0.0355541787588311	0.0813437587899734	0.0399572249595314	0.0411501437917164	0	0.973308562994549	0.24059365492182
